X,Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Transplant_Date,OD_transplant,Date_first_death_observed,Status,Lifetime_Flowered,Lifetime_Fruited,Overwinter_survival,Season_survival,Pre_Vern_Flowered,Post_Vern_Flowered,Date_PreVern_Flowering,Date_PostVern_Flowering,Stem_number_flowering_pre,Height1_flowering_pre,Stem_number_flowering,Height1_flowering,Height2_flowering,Height3_flowering,Height4_flowering,Height5_flowering,Height6_flowering,Height7_flowering,Height8_flowering,Date_silique_pre,Date_silique,Pre_Vern_Fruited,Post_Vern_Fruited,Stem_number_silique_pre,Height1_silique_pre,Height2_silique_pre,Height3_silique_pre,Height4_silique_pre,Height5_silique_pre,Stem_number_silique,Height1_silique,Height2_silique,Height3_silique,Height4_silique,Height5_silique,Height6_silique,Height7_silique,Height8_silique,Height9_silique,Failed_silique_number,Mature_silique_number,Mature_length_siliques,Post_reproductive,Date_post_reproductive,Stem_number_PR,Height1_PR,Height2_PR,Height3_PR,Height4_PR,Height5_PR,Height6_PR,Height7_PR,Height8_PR,Stem_number_Harvest,Height1_Harvest,Height2_Harvest,Height3_Harvest,Height4_Harvest,Height5_Harvest,Width_Census1,Width_Census2,Width_Census3,Width_Census4,Width_Census5,Width_Census6,Width_Census7,Width_Census8,Width_Census9,Width_Census10,Rosette_FW,Rosette_DW,Stem_FW,Stem_DW,Bolt_Leaves_FW,Bolt_Leaves_DW,Flower_FW,Flower_DW,Root_DW,Root_Shoot,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass,Licor_SLA,Q.anthocyanin,SLA_rosette_June22,Check,Resolution,Next steps
302,T1,High,High,4,369,T1_4_369,67_4,67,2903,8/18/2021,230,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
303,T1,High,High,4,370,T1_4_370,270_10,270,2553,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
304,T1,High,High,4,371,T1_4_371,188_2,188,3126,8/11/2021,223,377,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.27,64.46,57.44,66.87,45.93,50.24,49.33,35.15,37.76,NA,0.05,0.0157,0.3961,0.1617,0.5576,0.198,0,0,0.5079,1.352956846,NA,NA,NA,NA,NA,NA,NA,NA,5.204,83.36818617,,,
305,T1,High,High,4,372,T1_4_372,56_3,56,3132,9/22/2021,265,335,0,1,1,1,1,0,1,NA,219,NA,NA,1,117,NA,NA,NA,NA,NA,NA,NA,NA,262,0,1,NA,NA,NA,NA,NA,NA,1,250,NA,NA,NA,NA,NA,NA,NA,NA,2,14,410.7,1,273,1,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,NA,62.47,63.96,39.86,40.68,35.11,34.26,30.36,NA,0.0366,0.0165,0.2629,0.1296,0,0,0,0,0.4589,3.140999316,NA,NA,NA,NA,NA,NA,NA,NA,16.089,232.0041639,,,
306,T1,High,High,4,380,T1_4_380,188_2,188,3126,8/11/2021,223,377,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.49,66.45,78.83,82.95,65.18,72.34,68.85,57.99,36.97,NA,0.1004,0.0357,1.1335,0.4899,0.3447,0.1151,0,0,0.5727,0.893866084,0.001634861,7.125580107,647.9510968,428.8717954,0.058810299,1.010467971,0.0128,78.94281023,7.974,77.2844515,,,
307,T1,High,High,4,381,T1_4_381,106_6,106,2925,8/27/2021,239,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
308,T1,High,High,4,386,T1_4_386,199_1,199,3502,8/27/2021,239,19,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
309,T1,High,High,4,388,T1_4_388,262_3,262,2717.292,8/20/2021,232,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
310,T1,High,High,4,390,T1_4_390,162_2,162,3055,8/20/2021,232,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
311,T1,High,High,5,393,T1_5_393,107_4,107,3091,8/13/2021,225,375,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.14,92.73,86.87,72.99,29.28,31.91,33.17,29.11,37.61,NA,0.7188,0.2835,0.1388,0.0618,0,0,0,0,0.3551,1.028381118,0.001174618,10.81924853,647.9380667,371.1164104,0.066428021,0.717779213,0.0077,93.21807961,21.27,124.5945795,,,
312,T1,High,High,5,394,T1_5_394,257_2,257,2754.1728,8/20/2021,232,368,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,38.92,44.85,45.3,27.85,30.23,32.23,28.18,36.75,NA,0.2161,0.0812,0.0304,0.0162,0,0,0,0,0.171,1.755646817,NA,NA,NA,NA,NA,NA,NA,NA,10.164,105.8970056,,,
313,T1,High,High,5,396,T1_5_396,250_16,250,3133,9/14/2021,257,343,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,43.89,43.69,36.58,42.34,47.22,47.3,46.08,44.54,NA,0.564,0.1898,0.2462,0.111,0,0,0,0,0.395,1.313164894,0.001637257,7.852995806,648.4710667,479.8558534,0.083977317,0.683872335,0.0053,129.032516,16.889,95.45846021,,,
314,T1,High,High,5,398,T1_5_398,83_1,83,2994,9/11/2021,254,18,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
315,T1,High,High,5,399,T1_5_399,86_2,86,2880,9/14/2021,257,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
316,T1,High,High,5,403,T1_5_403,210_3,210,3161.3,9/14/2021,257,15,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
317,T1,High,High,5,405,T1_5_405,66_4,66,2940,8/11/2021,223,377,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.96,65.18,51.67,47.85,39.87,49,47.05,45.07,48.05,NA,0.8396,0.2961,0.1072,0.048,0,0,0,0,0.5938,1.725661145,0.001842407,10.37859228,647.3537419,473.3155764,0.106008914,0.905234785,0.0071,127.497857,27.48,90.78273831,,,
318,T1,High,High,5,410,T1_5_410,207_14B,207,3218.6,9/14/2021,257,343,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.54,62.04,64.28,71.86,45.9,47.59,44.88,39.18,42.49,NA,0.5275,0.2023,0.1314,0.0618,0,0,0,0,0.5575,2.110942825,NA,NA,NA,NA,NA,NA,NA,NA,17.099,92.14196049,,,
319,T1,High,High,5,411,T1_5_411,212_7,212,3131,8/17/2021,229,371,0,1,1,1,1,0,1,NA,250,NA,NA,1,71,NA,NA,NA,NA,NA,NA,NA,NA,302,0,1,NA,NA,NA,NA,NA,NA,1,225,NA,NA,NA,NA,NA,NA,NA,NA,17,8,261.5,1,315,1,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.44,57.8,61.7,58,38.55,36.84,37.43,37.27,16.95,NA,0,0,0,0,0,0,0,0,0.2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.192,113.2563611,Aboveground biomass = 0. Is that true?,Sample was not found,List as NA?
320,T1,High,High,5,416,T1_5_416,303_8,303,3570,8/13/2021,225,375,0,1,1,1,1,0,1,NA,271,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,336,0,1,NA,NA,NA,NA,NA,NA,1,250,NA,NA,NA,NA,NA,NA,NA,NA,12,10,164.54,1,343,1,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.48,45.95,49.69,45.5,42.99,45.3,42.39,36.83,41.96,NA,0.4617,0.159,0.2357,0.1413,0,0,0,0,0.5401,1.798534799,NA,NA,NA,NA,NA,NA,NA,NA,31.823,108.2631883,,,
321,T1,High,High,5,418,T1_5_418,214_7,214,2693.59,9/14/2021,257,15,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
322,T1,High,High,5,419,T1_5_419,107_4,107,3091,9/1/2021,244,119,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.34,52.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
323,T1,High,High,5,420,T1_5_420,304_19A,304,3673,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
324,T1,High,High,5,422,T1_5_422,199_1,199,3502,8/27/2021,239,361,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.93,39.35,42.79,23.69,20.82,30.95,31.99,25.34,21.5,NA,0.332,0.103,0.1022,0.0424,0,0,0,0,0.4739,3.259284732,NA,NA,NA,NA,NA,NA,NA,NA,9.256,93.96214,,,
325,T1,High,High,5,428,T1_5_428,194_2,194,3108,8/13/2021,225,375,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.44,55.2,55.97,55.23,29.82,36.2,40.97,39.8,40.65,NA,0.3198,0.1165,0.2907,0.1163,0,0,0,0,0.1899,0.815721649,NA,NA,NA,NA,NA,NA,NA,NA,11.93,101.1823692,,,
326,T1,High,High,5,429,T1_5_429,194_2,194,3108,8/20/2021,232,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
327,T1,High,High,5,431,T1_5_431,185_2,185,3411,9/14/2021,257,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
328,T1,High,High,5,433,T1_5_433,253_9,253,3460,9/14/2021,257,343,0,1,1,1,1,0,1,NA,226,NA,NA,1,83,NA,NA,NA,NA,NA,NA,NA,NA,287,0,1,NA,NA,NA,NA,NA,NA,1,160,NA,NA,NA,NA,NA,NA,NA,NA,18,20,539.2,1,300,1,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.44,45.89,61.76,50.44,41.15,42.32,42.38,36.19,35.37,NA,0.5336,0.1777,0.1712,0.0811,0,0,0,0,0.3763,1.454018547,0.000573927,6.876351713,648.2876129,286.6911637,0.031713371,0.953550294,0.0073,130.6233279,21.903,152.5881188,,,
329,T1,High,High,5,434,T1_5_434,212_7,212,3131,8/17/2021,229,161,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9,71.38,22.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
330,T1,High,High,5,435,T1_5_435,255_28,255,3341.67,8/17/2021,229,371,0,1,1,1,1,0,1,NA,294,NA,NA,2,229,241,NA,NA,NA,NA,NA,NA,NA,296,0,1,NA,NA,NA,NA,NA,NA,2,245,238,NA,NA,NA,NA,NA,NA,NA,0,13,183.8,1,315,2,243,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.11,50.72,NA,46.01,30.38,34.15,36.49,38.59,6.31,NA,0,0,0,0,0,0,0,0,0.1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,154.1885469,Aboveground biomass = 0. Is that true?,"Was a very small sample at last census. Likely true, no sample found",
331,T1,High,High,5,437,T1_5_437,207_14B,207,3218.6,9/14/2021,257,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
332,T1,High,High,5,438,T1_5_438,48_2,48,2951,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
333,T1,High,High,5,440,T1_5_440,255_28,255,3341.67,8/17/2021,229,8,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
334,T1,High,High,5,441,T1_5_441,188_2,188,3126,8/11/2021,223,377,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.76,47.67,NA,70.56,22.65,43.38,62.77,56.82,57.35,NA,0.4085,0.1359,0.2079,0.0894,0,0,0,0,0.3906,1.733688415,0.002588622,8.457223062,648.1246667,533.2178796,0.140995437,0.730682465,0.006,121.7804108,NA,86.46025489,,,
335,T1,High,High,5,443,T1_5_443,211_13A,211,3121.58,8/11/2021,223,377,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.24,56.98,46.39,55.79,33.35,45.11,52.63,59.44,56.31,NA,0.4745,0.1464,0.1657,0.0643,0,0,0,0,0.287,1.362126246,0.000204946,2.925677805,649.3293,228.894061,0.011489459,0.859213188,0.0059,145.6293539,20.131,103.9516379,,,
336,T1,High,High,5,444,T1_5_444,49_2,49,2935,8/11/2021,223,63,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
337,T1,High,High,5,448,T1_5_448,328_2,328,3660,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
338,T1,High,High,5,449,T1_5_449,273_37,273,2710,8/27/2021,239,361,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.83,26.35,25.69,NA,16.04,21.64,22.14,23.43,25.18,NA,0.0446,0.0137,0.0619,0.0245,0,0,0,0,0.1373,3.594240838,NA,NA,NA,NA,NA,NA,NA,NA,0.833,184.5702615,,,
339,T1,High,High,5,450,T1_5_450,49_2,49,2935,8/18/2021,230,370,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.32,43.86,NA,42.24,23.68,37.31,39.67,19.32,19.82,NA,0.2352,0.0796,0.0872,0.0368,0,0,0,0,0.3021,2.595360825,0.000657932,5.979960828,648.924129,370.839573,0.036468445,0.673621419,0.0053,127.0983809,26.593,92.87213102,,,
340,T1,High,High,5,453,T1_5_453,267_12,267,2498.61,8/20/2021,232,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
341,T1,High,High,5,454,T1_5_454,250_16,250,3133,9/14/2021,257,343,0,1,1,1,1,0,1,NA,241,NA,NA,1,106,NA,NA,NA,NA,NA,NA,NA,NA,266,0,1,NA,NA,NA,NA,NA,NA,1,189,NA,NA,NA,NA,NA,NA,NA,NA,3,5,134.7,1,287,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.92,63.89,42.42,49.15,31.11,36.15,37.29,33.27,33.92,NA,0.3809,0.1331,0.2404,0.1155,0,0,0,0,0.3948,1.588093323,0.000619781,8.037555881,648.6571333,265.6465689,0.034880123,0.646811329,0.0049,132.002312,19.18,NA,,,
342,T1,High,High,5,455,T1_5_455,83_1,83,2994,9/28/2021,271,8,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
